name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,10,13,10,1,1,80,0.122474,0.136059,0.304790,0.217414,0.241529
grey_100,0.1,0.1,0.1,47,55,29,1,1,80,0.683269,0.727713,1.024397,0.280559,0.298809
grey_200,0.2,0.2,0.2,143,165,74,1,1,82,2.133775,2.280785,2.727339,0.298769,0.319353
grey_300,0.3,0.3,0.3,335,384,163,1,1,84,5.035662,5.374755,6.094664,0.305098,0.325642
grey_400,0.4,0.4,0.4,617,704,292,1,1,88,9.299218,9.898928,10.974171,0.308204,0.328080
grey_500,0.5,0.5,0.5,1008,1148,472,1,1,93,15.211034,16.174757,17.783379,0.309361,0.328961
grey_600,0.6,0.6,0.6,1486,1690,690,1,1,98,22.438103,23.838638,26.028957,0.310323,0.329692
grey_700,0.7,0.7,0.7,2112,2404,974,1,1,106,31.895305,33.932201,36.771451,0.310874,0.330727
grey_800,0.8,0.8,0.8,2846,3240,1305,1,1,116,42.984581,45.753592,49.290527,0.311418,0.331479
grey_900,0.9,0.9,0.9,3738,4247,1699,1,1,128,56.469248,60.009896,64.186117,0.312563,0.332161
grey_1000,1,1,1,4768,5393,2139,1,1,142,72.056066,76.265493,80.809017,0.314476,0.332847
red_250,0.25,0,0,97,57,14,1,1,81,1.498656,0.846264,0.424411,0.541162,0.305584
grn_250,0,0.25,0,99,197,19,1,1,82,1.317175,2.692082,0.655280,0.282381,0.577138
blu_250,0,0,0.25,47,29,99,1,1,81,0.771468,0.312669,3.695576,0.161405,0.065416
red_500,0.5,0,0,405,212,25,1,1,85,6.369700,3.353633,0.726712,0.609538,0.320920
grn_500,0,0.5,0,416,839,50,1,1,84,5.592563,11.620721,1.859361,0.293224,0.609287
blu_500,0,0,0.5,175,85,406,1,1,83,3.015019,0.933123,15.391922,0.155895,0.048248
red_750,0.75,0,0,969,495,42,1,1,93,15.288557,7.937306,1.159766,0.626949,0.325491
grn_750,0,0.75,0,1029,2056,105,1,1,92,13.894850,28.568607,3.991377,0.299105,0.614976
blu_750,0,0,0.75,412,191,971,1,1,86,7.163155,2.115978,36.917862,0.155057,0.045803
red_1000,1,0,0,1810,914,61,1,1,105,28.588105,14.739217,1.561671,0.636862,0.328348
grn_1000,0,1,0,2158,4132,174,1,1,105,29.421307,57.632276,6.634158,0.314036,0.615153
blu_1000,0,0,1,799,373,1889,1,1,93,13.919684,4.169814,71.894562,0.154691,0.046339
