name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,14,18,11,1,1,29,0.181667,0.207168,0.342383,0.248444,0.283319
grey_100,0.1,0.1,0.1,55,64,29,1,1,30,0.801848,0.858786,1.022758,0.298819,0.320037
grey_200,0.2,0.2,0.2,209,238,100,1,1,31,3.131721,3.318943,3.708405,0.308268,0.326698
grey_300,0.3,0.3,0.3,522,591,244,1,1,35,7.867914,8.310874,9.155027,0.310570,0.328055
grey_400,0.4,0.4,0.4,1015,1146,474,1,1,40,15.331533,16.157050,17.855616,0.310706,0.327436
grey_500,0.5,0.5,0.5,1740,1960,808,1,1,48,26.307946,27.671165,30.487895,0.311458,0.327597
grey_600,0.6,0.6,0.6,2666,3002,1238,1,1,58,40.326172,42.404671,46.753202,0.311437,0.327490
grey_700,0.7,0.7,0.7,3881,4376,1799,1,1,71,58.706649,61.829433,67.974312,0.311424,0.327990
grey_800,0.8,0.8,0.8,5292,5969,2448,1,1,86,80.054630,84.355331,92.522355,0.311579,0.328317
grey_900,0.9,0.9,0.9,6994,7884,3225,1,1,104,105.811541,111.446643,121.907438,0.311976,0.328591
grey_1000,1,1,1,8951,10072,4112,1,1,124,135.444745,142.419828,155.445659,0.312581,0.328679
red_250,0.25,0,0,164,85,13,1,1,31,2.564858,1.319715,0.358677,0.604456,0.311015
grn_250,0,0.25,0,131,271,29,1,1,31,1.739126,3.707674,1.042415,0.268003,0.571359
blu_250,0,0,0.25,65,58,138,1,1,30,1.051224,0.683036,5.186853,0.151887,0.098689
red_500,0.5,0,0,803,365,23,1,1,37,12.726704,5.986105,0.483156,0.662988,0.311842
grn_500,0,0.5,0,628,1344,104,1,1,36,8.356669,18.556284,3.959635,0.270682,0.601060
blu_500,0,0,0.5,283,226,682,1,1,34,4.773573,2.676631,25.937247,0.142975,0.080169
red_750,0.75,0,0,2113,940,42,1,1,49,33.556737,15.567021,0.681201,0.673763,0.312560
grn_750,0,0.75,0,1656,3565,258,1,1,46,22.041208,49.291524,9.950831,0.271164,0.606414
blu_750,0,0,0.75,730,567,1796,1,1,41,12.410524,6.720010,68.428594,0.141739,0.076748
red_1000,1,0,0,4256,1881,75,1,1,68,67.632857,31.243146,1.078694,0.676635,0.312573
grn_1000,0,1,0,3307,7149,508,1,1,63,43.994340,98.874985,19.680031,0.270652,0.608277
blu_1000,0,0,1,1437,1098,3571,1,1,53,24.511429,12.991719,136.131693,0.141167,0.074822
