name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,14,18,11,1,1,39,0.181667,0.207168,0.342383,0.248444,0.283319
grey_100,0.1,0.1,0.1,61,71,31,1,1,39,0.891756,0.958337,1.098136,0.302472,0.325055
grey_200,0.2,0.2,0.2,226,258,106,1,1,41,3.386428,3.602862,3.934779,0.309997,0.329809
grey_300,0.3,0.3,0.3,559,631,258,1,1,45,8.428416,8.881264,9.682717,0.312251,0.329028
grey_400,0.4,0.4,0.4,1094,1231,503,1,1,50,16.528303,17.370474,18.948059,0.312759,0.328695
grey_500,0.5,0.5,0.5,1866,2100,858,1,1,58,28.212373,29.661129,32.374939,0.312608,0.328661
grey_600,0.6,0.6,0.6,2850,3204,1315,1,1,68,43.113761,45.274296,49.660638,0.312308,0.327959
grey_700,0.7,0.7,0.7,4123,4641,1900,1,1,82,62.373799,65.594997,71.787628,0.312249,0.328375
grey_800,0.8,0.8,0.8,5560,6280,2551,1,1,97,84.082439,88.765914,96.411736,0.312272,0.329666
grey_900,0.9,0.9,0.9,7260,8211,3335,1,1,114,109.786054,116.058156,126.070392,0.311968,0.329791
grey_1000,1,1,1,9142,10346,4198,1,1,134,138.242356,146.241297,158.714661,0.311920,0.329968
red_250,0.25,0,0,174,89,13,1,1,40,2.724374,1.387862,0.354526,0.609921,0.310709
grn_250,0,0.25,0,140,288,29,1,1,40,1.861821,3.945875,1.042565,0.271788,0.576018
blu_250,0,0,0.25,67,60,144,1,1,40,1.085348,0.706344,5.415975,0.150582,0.097999
red_500,0.5,0,0,852,388,23,1,1,46,13.503034,6.364903,0.463801,0.664136,0.313053
grn_500,0,0.5,0,673,1430,108,1,1,46,8.971311,19.756381,4.113741,0.273171,0.601569
blu_500,0,0,0.5,298,238,718,1,1,44,5.028037,2.821087,27.310386,0.143006,0.080237
red_750,0.75,0,0,2202,983,43,1,1,58,34.965580,16.270177,0.684667,0.673446,0.313368
grn_750,0,0.75,0,1745,3730,266,1,1,56,23.264818,51.597790,10.257545,0.273317,0.606176
blu_750,0,0,0.75,758,593,1867,1,1,51,12.882506,7.033277,71.138247,0.141482,0.077243
red_1000,1,0,0,4280,1900,74,1,1,77,68.000372,31.531797,1.033189,0.676181,0.313545
grn_1000,0,1,0,3416,7336,512,1,1,73,45.512451,101.506440,19.829432,0.272777,0.608376
blu_1000,0,0,1,1464,1126,3641,1,1,62,24.963040,13.330876,138.804189,0.140956,0.075274
