name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,11,14,11,1,1,107,0.138173,0.149766,0.342816,0.219059,0.237440
grey_100,0.1,0.1,0.1,60,66,33,1,1,108,0.884332,0.888753,1.173752,0.300095,0.301596
grey_200,0.2,0.2,0.2,209,221,106,1,1,110,3.162286,3.088397,3.933080,0.310522,0.303267
grey_300,0.3,0.3,0.3,509,532,252,1,1,113,7.749785,7.503955,9.450963,0.313697,0.303746
grey_400,0.4,0.4,0.4,948,985,468,1,1,119,14.467695,13.935299,17.614912,0.314393,0.302823
grey_500,0.5,0.5,0.5,1549,1607,760,1,1,126,23.659268,22.767950,28.650147,0.315132,0.303260
grey_600,0.6,0.6,0.6,2293,2376,1130,1,1,136,35.045215,33.680309,42.636913,0.314695,0.302439
grey_700,0.7,0.7,0.7,3263,3381,1625,1,1,149,49.894642,47.926256,61.355503,0.313455,0.301089
grey_800,0.8,0.8,0.8,4383,4549,2176,1,1,164,67.014553,64.496429,82.184662,0.313598,0.301814
grey_900,0.9,0.9,0.9,5730,5932,2959,1,1,183,87.720147,84.014690,111.833636,0.309344,0.296277
grey_1000,1,1,1,7380,7614,3756,1,1,213,112.991690,107.930244,141.944124,0.311387,0.297438
red_250,0.25,0,0,159,89,17,1,1,108,2.478482,1.360729,0.515562,0.569141,0.312468
grn_250,0,0.25,0,129,253,21,1,1,108,1.728559,3.475233,0.732119,0.291204,0.585459
blu_250,0,0,0.25,70,37,151,1,1,108,1.175662,0.400182,5.675585,0.162128,0.055187
red_500,0.5,0,0,685,353,37,1,1,115,10.799143,5.632206,1.078092,0.616761,0.321667
grn_500,0,0.5,0,563,1120,57,1,1,113,7.596154,15.548148,2.130638,0.300541,0.615161
blu_500,0,0,0.5,288,123,674,1,1,111,5.011407,1.333007,25.598586,0.156886,0.041731
red_750,0.75,0,0,1623,823,65,1,1,128,25.633124,13.246934,1.787673,0.630306,0.325736
grn_750,0,0.75,0,1396,2750,121,1,1,122,18.907755,38.275755,4.609969,0.305983,0.619414
blu_750,0,0,0.75,709,297,1680,1,1,118,12.403902,3.243095,63.922440,0.155888,0.040758
red_1000,1,0,0,3048,1526,89,1,1,151,48.173284,24.688739,2.153091,0.642181,0.329117
grn_1000,0,1,0,2863,5400,199,1,1,139,39.148575,75.425343,7.584077,0.320475,0.617441
blu_1000,0,0,1,1507,728,3496,1,1,136,26.196770,8.292485,133.117173,0.156299,0.049476
