name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,14,18,11,1,1,41,0.181667,0.207168,0.342383,0.248444,0.283319
grey_100,0.1,0.1,0.1,62,72,31,1,1,41,0.906773,0.973071,1.097895,0.304517,0.326782
grey_200,0.2,0.2,0.2,231,262,104,1,1,43,3.461708,3.665387,3.856749,0.315164,0.333707
grey_300,0.3,0.3,0.3,576,648,252,1,1,46,8.679617,9.137905,9.449013,0.318325,0.335133
grey_400,0.4,0.4,0.4,1130,1268,491,1,1,52,17.059183,17.926424,18.480459,0.319066,0.335286
grey_500,0.5,0.5,0.5,1930,2162,837,1,1,60,29.162269,30.599279,31.555310,0.319353,0.335089
grey_600,0.6,0.6,0.6,2948,3304,1286,1,1,71,44.562557,46.774419,48.527830,0.318612,0.334426
grey_700,0.7,0.7,0.7,4271,4790,1863,1,1,84,64.569554,67.826844,70.336334,0.318496,0.334563
grey_800,0.8,0.8,0.8,5775,6505,2509,1,1,100,87.266916,92.108878,94.755556,0.318340,0.336003
grey_900,0.9,0.9,0.9,7548,8496,3290,1,1,118,114.084979,120.308208,124.278036,0.318077,0.335428
grey_1000,1,1,1,9589,10777,4161,1,1,138,144.954698,152.654284,157.186332,0.318725,0.335655
red_250,0.25,0,0,183,93,13,1,1,42,2.867314,1.454474,0.350906,0.613632,0.311271
grn_250,0,0.25,0,145,299,30,1,1,41,1.928244,4.097714,1.081366,0.271304,0.576548
blu_250,0,0,0.25,65,58,140,1,1,41,1.052587,0.680982,5.263388,0.150435,0.097326
red_500,0.5,0,0,901,411,24,1,1,48,14.280045,6.742674,0.482712,0.664020,0.313534
grn_500,0,0.5,0,696,1478,110,1,1,47,9.279132,20.423193,4.191978,0.273767,0.602555
blu_500,0,0,0.5,289,230,696,1,1,44,4.876332,2.724265,26.470964,0.143120,0.079957
red_750,0.75,0,0,2323,1038,45,1,1,61,36.886800,17.179817,0.712885,0.673369,0.313618
grn_750,0,0.75,0,1815,3872,272,1,1,58,24.207970,53.573363,10.491146,0.274241,0.606909
blu_750,0,0,0.75,740,574,1819,1,1,52,12.581042,6.804142,69.305463,0.141853,0.076718
red_1000,1,0,0,4610,2050,78,1,1,81,73.239072,34.014129,1.054484,0.676213,0.314051
grn_1000,0,1,0,3572,7649,529,1,1,75,47.622190,105.859789,20.487881,0.273738,0.608495
blu_1000,0,0,1,1437,1095,3565,1,1,63,24.512012,12.958282,135.901218,0.141384,0.074743
