name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,13,18,11,1,1,40,0.165092,0.205633,0.342914,0.231339,0.288147
grey_100,0.1,0.1,0.1,53,63,27,1,1,40,0.768893,0.844570,0.946996,0.300295,0.329851
grey_200,0.2,0.2,0.2,213,243,94,1,1,42,3.186142,3.397239,3.478126,0.316667,0.337647
grey_300,0.3,0.3,0.3,543,620,235,1,1,45,8.164680,8.735126,8.807876,0.317597,0.339787
grey_400,0.4,0.4,0.4,1061,1207,457,1,1,51,15.987372,17.050264,17.198327,0.318246,0.339404
grey_500,0.5,0.5,0.5,1809,2056,776,1,1,58,27.280267,29.077055,29.254528,0.318651,0.339638
grey_600,0.6,0.6,0.6,2785,3170,1196,1,1,69,42.008268,44.847919,45.131482,0.318274,0.339789
grey_700,0.7,0.7,0.7,4033,4583,1728,1,1,82,60.855200,64.867877,65.236619,0.318681,0.339694
grey_800,0.8,0.8,0.8,5426,6160,2329,1,1,96,81.897046,87.204238,87.952748,0.318599,0.339245
grey_900,0.9,0.9,0.9,7064,8025,3038,1,1,114,106.624715,113.607162,114.755141,0.318295,0.339139
grey_1000,1,1,1,8815,10046,3790,1,1,132,133.011653,142.198468,143.188250,0.317907,0.339864
red_250,0.25,0,0,171,87,13,1,1,41,2.677765,1.356858,0.355539,0.609947,0.309068
grn_250,0,0.25,0,137,285,30,1,1,41,1.817451,3.900646,1.081556,0.267286,0.573654
blu_250,0,0,0.25,60,53,128,1,1,41,0.969323,0.619631,4.805385,0.151591,0.096903
red_500,0.5,0,0,838,378,22,1,1,48,13.285883,6.212447,0.430069,0.666681,0.311738
grn_500,0,0.5,0,669,1428,114,1,1,47,8.912217,19.717683,4.344890,0.270274,0.597962
blu_500,0,0,0.5,260,205,632,1,1,44,4.390989,2.415476,24.030004,0.142396,0.078332
red_750,0.75,0,0,2195,971,42,1,1,60,34.867566,16.102068,0.646638,0.675515,0.311957
grn_750,0,0.75,0,1752,3758,283,1,1,58,23.348818,51.960659,10.912492,0.270799,0.602638
blu_750,0,0,0.75,669,513,1661,1,1,51,11.391573,6.052217,63.279236,0.141119,0.074975
red_1000,1,0,0,4217,1854,70,1,1,77,67.025094,30.832035,0.900242,0.678684,0.312200
grn_1000,0,1,0,3382,7283,540,1,1,73,45.050543,100.725947,20.903609,0.270281,0.604307
blu_1000,0,0,1,1279,965,3197,1,1,59,21.844901,11.377665,121.865038,0.140855,0.073363
